,Total Employees,Tech/No Tech,Tech Role,MH Benefits,Awareness of Company MH Care,Formal MH Discussion,MH Resources,Anonymity,Medical Leave,MH Negative Impact,PH Negative Impact,Telling Coworkers,Telling Supervisors,MH PH Equal,Observed Negative Impact,Previous Employers,PH Potential Employer,MH Potential Employer,MH Identification Career Harm,Negative Impact Coworkers,Sharing w/ Family/Friends,Prev Observed Unsupportive Response,MH Family History,Past Mental Disorder,Current Mental Disorder,Professional Diagnosis,Sought Treatment,MH Interference Treatment,MH Interference No Treatment,Age,Gender,Country,State,Position,Remote
0,3,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,Maybe,Maybe,No,Somewhat open,No,No,Yes,No,Yes,0,Not applicable to me,Not applicable to me,3,Male,UK,9,Back-end Developer,Sometimes
1,2,1.0,1.0,No,Yes,Yes,Yes,Yes,2,No,No,Maybe,Yes,Yes,No,1,Maybe,No,No,No,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,2,Male,USA,5,Full track,Never
2,2,1.0,1.0,No,I am not sure,No,No,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,3,Male,UK,9,Back-end Developer,Always
4,2,0.0,0.0,Yes,Yes,No,No,No,3,Yes,Maybe,Maybe,No,No,No,1,Maybe,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,4,Female,USA,5,Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes
5,6,1.0,1.0,Yes,I am not sure,No,Yes,Yes,2,Yes,Yes,Maybe,Yes,No,Yes,1,Yes,Maybe,Yes,Maybe,Somewhat open,Yes,No,No,Yes,No,1,Not applicable to me,Often,4,Male,UK,9,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|Designer,Sometimes
6,3,1.0,1.0,I don't know,No,No,No,I don't know,2,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,Yes,No,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,3,Back-end Developer,Sometimes
7,6,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Maybe,Yes,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Female,USA,3,Dev Evangelist/Advocate|Back-end Developer,Always
8,3,0.0,0.0,I don't know,No,No,No,I don't know,5,Yes,Yes,Yes,Maybe,No,No,1,Maybe,Maybe,Maybe,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,4,Female,USA,1,Support|Back-end Developer|One-person shop,Sometimes
10,3,1.0,1.0,Yes,I am not sure,Yes,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,No,Maybe,Very open,Yes,I don't know,Yes,Yes,Yes,1,Sometimes,Often,2,Male,USA,7,Front-end Developer,Never
11,4,0.0,0.0,Yes,Yes,No,I don't know,I don't know,4,Yes,No,No,No,No,No,1,No,No,Yes,Yes,Not open at all,No,Yes,Yes,Yes,Yes,1,Never,Rarely,3,Male,USA,2,Executive Leadership,Sometimes
